,0,1,2,3,4,5,6,7,8,9,10,11,12,13
14178,LINC02092,AC106875.2,ELDR,LINC01998,AC016550.3,LINC01903,AP003467.1,AC018680.1,PRICKLE2-AS1,AC009704.1,ZNF679,LINC01924,KRTAP2-4,AL121718.1
14179,AC125421.1,EHD4-AS1,AC073188.3,IGHD4OR15-4B,AC016550.2,AC100844.1,AP003355.2,AC073429.1,LINC00994,OR2T3,AC092447.5,LINC00305,KRTAP2-3,AL450327.1
14180,AC032019.2,AC013652.2,AC073188.4,MME-AS1,AC016550.1,AC068112.1,AP003438.1,LINC02510,AC138304.1,LINC01927,C21orf62,LINC01795,KRTAP2-2,AC107909.2
14181,AC032019.1,AC107068.2,AC073188.2,LINC01487,AC026414.1,LINC01912,AL445205.1,AC104024.2,AC092142.2,LINC01879,AP000281.2,LINC01813,KRTAP2-1,LINC01298
14182,LINC01790,ZAR1,AC073188.5,LINC01323,AC010595.1,AC005909.1,ROR1-AS1,AC055811.1,AC092139.1,AC018529.1,AL928921.1,MIR217HG,KRTAP1-1,AC012339.1
14183,CPSF4L,AC020661.3,DDC,AC012506.3,AC010486.3,LINC01538,AL139147.1,AC055811.2,AC009148.1,AC016044.1,LINC01714,AC011306.1,SMIM31,AP003465.2
14184,C17orf77,AC020661.2,DDC-AS1,AC012506.2,AC026782.2,LINC01922,LINC01702,AC020558.2,BCO1,AC005291.1,CA6,AC091167.6,KRT28,AP003117.2
14185,LINC02097,INO80-AS1,LINC01445,AC012506.4,AC008799.2,FAM69C,AL033530.1,AC093484.4,AC092718.6,AC005323.2,SLC2A7,AC005909.1,AC068675.1,AP003115.1
14186,LINC01152,AC092687.2,AC006013.1,AC011239.1,AC135782.2,AC009704.1,AL035412.1,AC098850.2,ADAMTS9-AS1,MYHAS,AL450344.2,LINC01912,MIR2117HG,AL133419.1
14187,ROCR,AC092687.1,AC093655.1,AC104961.1,AC138028.5,PIRT,AL138789.1,AC098850.1,AC092130.1,MYH8,AL133260.2,AC068112.1,AC109927.2,LINC01526
14188,AC005144.1,AC099344.1,AC008567.2,AC110603.1,AC138028.2,AC005772.1,AL354949.1,LINC00613,LINC01228,OR2M2,DDC,AC100844.1,AC109927.1,AL360157.1
14189,AC118653.1,AC099344.2,AC130469.1,AQP4-AS1,AC093281.2,LINC02030,AC011481.1,LINC02377,LINC02047,MYH1,DDC-AS1,LINC01903,AC093766.1,AL355613.1
14190,CASC17,AL121753.1,LINC01862,IGHVII-28-1,AC093281.1,AC121764.2,APOC4,SNHG27,LINC02005,AC005725.1,AC092447.8,AC022655.1,AC098859.2,SNAP91
14191,AC007423.1,AC039056.1,ACTL9,IQCJ-SCHIP1-AS1,AC099554.1,AC121764.3,AL513285.1,AC096711.2,PDZRN3-AS1,LINC01931,AC092447.4,AC114689.3,LINC00499,AL049812.3
14192,AC064834.1,AC012456.1,OR2Z1,IL12A-AS1,AC113167.1,WNT5A-AS1,LINC01788,AC114741.1,AC134508.1,LINC01818,AL049548.1,CBLN2,AC109811.1,AL078601.2
14193,AC104823.1,AC096559.1,OR1M1,AL139300.2,AC008448.1,AC121764.1,ODF1,OR2T10,AC112219.1,LINC01817,NANOGP11,AC069114.1,AC106871.1,AC105177.1
14194,AC010983.1,AC073062.1,OR7G2,AL139300.1,LINC02161,AC025572.1,AC103853.1,OR2T11,AC112219.2,LINC01920,LINC01690,AC027458.1,GYPA,AL121974.1
14195,AC124804.1,LINC00276,AC104073.4,LINC00637,AC074131.1,C18orf63,AC021546.1,OR2T27,AC010528.1,AC104777.3,OLIG2,LINC01899,GYPB,AC020913.3
14196,CST8,AC016730.1,AC114501.3,AL132712.1,AC114316.2,AC007948.1,AC005757.1,AF038458.3,AC099511.1,AC104777.2,LINC00945,LINC01586,KRT19,AL031651.1
14197,AL109954.3,AC011897.1,AL049844.3,AC079943.2,AC026782.1,AC007631.1,AP000426.1,AF038458.2,KRTAP2-3,DHRS7C,AP000289.1,AC091691.2,AC097658.2,AL359555.1
14198,AL109954.1,AL121906.1,AC092634.5,LINC01997,ATG10-AS1,LINC01916,AP001208.2,OVOL3,CPHXL,LINC02490,KCNH7,AC139887.3,AC139720.2,GSTA2
14199,AC100788.1,AL050349.1,AC115220.1,AL132712.2,ACOT12,AC090358.1,AP001208.1,SMCR2,DUXB,WDR72,AC011900.1,AC107464.2,LINC02276,GSTA1
14200,AC022966.1,LINC02480,LINC01005,LINC01100,AC026427.1,AC023394.1,AP001330.1,AC079779.1,AC025287.3,MYH4,AC016766.1,AC024270.2,AC107220.1,GSTA5
14201,AC073050.1,AC104066.2,AC091685.1,AC079594.2,RASGRF2-AS1,ANKRD20A8P,AL592161.1,AC079779.3,CHST5,AC126323.3,AL031848.1,AC022558.3,AC096733.1,AL034374.1
14202,XIRP2-AS1,AC020659.2,ZNF735,IQCJ,LINC02091,TEKT4,INSL5,AC079779.4,AC009163.2,AC126323.6,AL512330.1,AC024270.4,UCP1,AL033397.2
14203,XIRP2,AC023154.1,ZNF679,PLCH1-AS2,AC010486.2,LRTM1,AL158840.1,LINC01865,CLEC3A,AC126323.5,AP000688.3,AC022558.2,MGAT4D,AC141257.2
14204,LINC01993,AC058822.1,AC068533.3,KCNAB1-AS2,AC010486.1,AC092059.1,LINC01758,AC105393.2,AC079414.1,AC009654.1,NPC1L1,AC105339.3,AC131182.1,RHAG
14205,AC087645.4,AC012476.1,AL023584.2,KCNAB1-AS1,AC117522.2,LINC02017,AL512271.1,AC105393.1,KRTAP4-1,AC107241.1,AC004869.2,AC245033.2,AC108935.1,AC022634.2
14206,TMEM235,AC018362.2,AL355304.1,AL583810.2,DGCR9,AC005703.4,LINC01707,LINC01874,KRTAP4-2,DRD3,AC004869.1,AC048382.1,AC069272.1,AC104248.1
14207,AC005234.1,AC096586.2,LINC01277,AL583810.3,AC007326.2,CDRT15,AC005779.2,LINC01256,KRTAP4-3,AC116003.3,AC011294.1,AC048382.4,LINC02507,TRHR
14208,LINC01124,AC108467.1,AL049844.1,AC079943.1,LINC02488,AC022816.1,AC012564.1,AC115622.1,KRTAP4-4,LINC01413,AC004870.4,LINC01541,FREM3,AC021237.1
14209,AC007277.1,AC095060.1,AC068533.4,LINC01908,LINC01662,AC013248.1,LINC01298,AC110751.1,AC105430.1,AC025271.3,AC004870.3,NTRK3-AS1,AC110751.1,AC079061.1
14210,AC012594.1,COX7B2,AL512380.1,AC090772.2,GGTLC3,AC005863.1,MIR3150BHG,PCDH10,KRTAP2-2,AC025271.2,C7orf65,LINC00052,AC115622.1,KCNV1
14211,AC106900.1,GABRB1,AL512380.2,AC090772.1,AC023490.3,LINC02096,CABP5,AL672291.1,KRTAP2-1,ZBTB20-AS2,KCNE2,AC020687.1,LINC01256,AC027451.1
14212,AC106900.2,AC107398.2,AL354771.1,AC023983.1,AC246680.1,ITIH4-AS1,ELSPBP1,OR2T8,KRTAP1-1,LINC01922,AP000697.1,AC078905.1,AC114741.1,AC021546.1
14213,AC021683.1,AC016134.1,LINC01351,RD3L,AC239859.3,CDRT7,BSPH1,OR2AJ1,KRTAP1-3,AC046136.1,RIPPLY3,AC016987.1,AC096711.2,AC103853.1
14214,AC021683.3,LINC01618,AL391645.1,AC012506.1,LINC01691,CDRT8,AC008635.1,OR2L8,KRTAP1-4,LIPC-AS1,LINC01672,AC012229.1,LINC00498,DEFB113
14215,AC068594.2,AC013356.2,LINC01720,TMEM179,AC244021.2,AC005703.3,C4B-AS1,OR2AK2,KRTAP3-1,AC018904.1,Z97987.1,AGBL1-AS1,AC093903.1,DEFB114
14216,AC068594.1,AC005695.1,ZNF705B,BX927359.1,SRGAP2-AS1,AC005703.1,AC108860.2,AC003688.2,KRTAP3-3,AC090515.4,AL365194.1,AGBL1,LINC00616,GLYATL3
14217,AC073263.1,AC127496.1,FAM66E,AL583722.3,AC091826.2,AC005703.2,AC023632.5,AC026954.2,KRT40,AC025918.1,AL359881.3,LINC01584,AC131956.1,AL136131.2
14218,AL035252.2,AC127496.6,USP17L8,LINC02280,LINC02060,AC005304.2,AP003351.1,LINC01179,KRT39,LSAMP-AS1,AL359881.2,AC090415.2,AC131956.2,CRISP2
14219,AC007405.2,AC127496.2,USP17L3,AC080013.4,LINC02144,AC013437.1,AL590783.1,AC097487.1,LINC02131,LINC00903,VIP,GTSCR1,AC023855.1,CRISP3
14220,GCG,ANKRD20A8P,KRTAP20-1,LINC01822,LINC01663,AC096558.1,AC097066.1,AC079349.1,AC022166.1,TUSC7,AL160162.1,AC103876.1,AC004149.1,PGK2
14221,SCN1A,TEKT4,AC103957.2,LINC01830,LINC02225,AC096558.2,AL035416.1,AC116634.1,AC009139.1,UPK1B,AC096582.3,AC116565.2,AC007993.2,SAMD12-AS1
14222,AC010127.1,AC103563.2,AL031775.2,AC068490.1,AC106822.1,AC023491.2,AC093424.1,AC092435.2,AC009139.2,B4GALT4-AS1,IGFBP1,AC116565.1,LINC02510,AC107953.2
14223,AC009495.2,TRIM43B,AL512428.1,AC096570.1,AC008780.2,AC007325.1,AL592431.1,AC079858.1,AC106729.1,AC084782.3,AC073115.1,AC092574.2,AC073429.1,MAL2-AS1
14224,AC087741.2,AC009237.15,AL133268.3,LINC01884,AC008780.1,AC105105.4,AL592431.2,AC021151.1,AC108125.1,C18orf63,AC023669.1,ZNF732,AC018680.1,AC021733.1
14225,LINC01978,FAM83C-AS1,AC114550.1,AC018467.1,ACTBL2,AC104971.2,ANGPTL3,AC096741.1,AC104151.1,ZBTB20-AS3,AL356311.1,LMLN-AS1,AC073429.2,LINC00536
14226,LINC01979,LINC01979,AC087269.1,AL512357.1,AC025470.2,AC104365.2,AC010519.1,LINC02275,AC105265.3,ARGFX,AC004920.1,AC055764.1,LINC00613,AC025366.1
14227,AC100791.1,LINC01978,AC022784.8,AC021382.1,TSSK2,LINC01926,SLC8A2,AC084866.2,AC097634.2,FBXO40,AC004830.1,AC021739.3,AC105362.1,DEFB110
14228,AC127496.2,AC005695.3,DEFB106A,AC068408.1,OR1E2,AC092675.1,BTNL2,AC084866.1,FOXP1-AS1,AC020892.2,C21orf140,AC021739.5,LINC02485,DEFB112
14229,AC127496.6,AC005695.2,DEFB104A,AC074033.1,OR3A3,AC098850.1,C6orf10,LINC01612,MDFIC2,AC116003.1,AP000322.2,AC087286.2,AC112236.1,AL138826.1
14230,AC093899.2,AC012485.2,SPAG11A,LRRC31,OR1E1,IGKV1OR2-9,AP003465.2,LINC02512,AC104445.1,SMIM21,AP000322.1,AC115102.1,AC003098.1,AL360175.1
14231,CST9L,AC104794.3,DEFB103A,SEC62-AS1,LINC01386,IGKV2OR2-10,AC084346.1,LINC02382,AC099328.2,AC116003.2,LINC00160,AC024560.3,SOST,AL135908.1
14232,ABCB11,PDCL2,AC103957.1,AC073288.1,OR3A1,IGKV2OR2-7D,AL139294.1,LINC02431,AC025284.1,LINC01898,AF015262.1,SH3GL3,LINC01976,AC009930.1
14233,G6PC2,EXOC1L,AC116003.3,AL117190.1,OR1A1,IGKV1OR2-6,PGLYRP1,ANXA10,LINC02135,AC021506.1,AC013436.1,AC024270.3,LINC02430,AL353588.1
14234,LINC02078,AC116158.2,AC116003.1,RTL1,SHISAL2B,IGKV2OR2-7,NANOS2,AC023136.1,LINC01081,AC090457.1,LINC01952,AC009955.2,AC108156.1,AC103993.1
14235,AC021534.1,AC022929.1,SMIM21,MIR381HG,HTR1A,IGKV2OR2-8,LY6G6D,AC026954.3,LINC01082,AC103808.6,AL138733.1,AC009955.1,AL583808.1,AC064802.1
14236,RBFOX3,AC113146.1,AC116003.2,AL132709.1,AC026434.1,IGKV1OR2-11,AP003469.2,SPEM1,ARHGEF3-AS1,AC123786.1,AL138733.2,AC024267.4,AL354949.1,AF178030.1
14237,AL157413.1,AC100791.1,LINC01898,ARL14,C5orf64-AS1,AC092683.2,AP003115.1,SPEM3,AC097468.2,AC084759.2,AC023669.2,AC024267.1,AL031587.4,AC073023.1
14238,AL158090.1,PHGR1,AC021506.1,AL355096.1,AC026746.1,AC040963.1,AP003117.2,AC113189.1,LINC01494,MYLK-AS2,AC006012.1,AC010761.5,AL031587.1,AL513211.1
14239,LINC01721,AC013356.4,AC124254.1,LINC00524,LINC02057,GRP,C4A-AS1,AC113189.3,PRKAG3,AC020634.1,AL032819.3,AC010761.4,AL031587.3,MLIP-AS1
14240,AL110503.1,PPP1R14D,AC123786.1,LINC02314,AC087292.1,AC159540.1,AC096543.2,TKTL2,AC009974.1,ROPN1,RPL3L,AC010761.2,C22orf23,TINAG
14241,AC005041.3,AC025166.1,LINC01029,AL049836.2,LINC01975,AC011043.2,AC096543.1,SMIM31,NEUROD2,AC091073.1,RNF151,INHA,GALR3,AC025370.1
14242,CST9,LNX1-AS1,AC022784.2,DIO3,AC116914.1,LINC01786,AL162400.2,AC106872.10,AC004408.1,AC013452.2,AL139424.3,AC013476.1,KRT13,AC012213.4
14243,AC007556.1,AC110792.2,DEFB130A,AC026316.2,AC087498.1,LINC01342,AC018442.2,TRIM75P,AC009117.3,AC012170.3,CORT,AC010761.3,KRT36,AC012564.1
14244,EMX1,GSX2,AC022784.4,SLC2A2,AC243756.1,AP001469.2,LINC01739,OR11L1,VIL1,AC084756.1,AL354956.1,AC005726.4,AC092435.2,AP001330.1
14245,AL121904.1,LINC02283,FAM167A-AS1,AL157871.1,HJV,BX004987.1,AC099794.1,AC003688.1,AC025572.1,AC012100.2,LINC01372,AP001109.1,FBXW7-AS1,AP001208.1
14246,AL391119.1,AC098587.1,LINC00208,SLC25A47,AC243547.1,AC171558.1,AC103923.1,AC022148.1,AC121764.1,MIR4713HG,AC005482.1,AC006270.1,AC080078.1,AP001208.2
14247,AL078587.1,AC021755.3,GATA4,AL157871.4,AC016644.1,AC171558.3,AC007193.1,OR2G3,WNT5A-AS1,AC020891.2,AC092637.1,AC005972.1,AC079340.2,AL590227.1
14248,LINC01733,AC007314.1,AC104964.2,AL845552.2,AC008940.1,FAM231C,AC007193.2,AL390860.1,DIRC3-AS1,OR2M5,EGFR-AS1,AC068512.1,AC079340.1,AC090802.1
14249,AL121772.2,BUB1B-PAK6,PRSS51,AL359682.1,AC034245.1,AL645608.7,AC006262.3,OR13G1,AC007749.1,LINC01029,AL365271.1,AC005821.1,AC097375.2,AL646090.1
14250,AC009336.1,AC093904.4,PRSS55,OTOL1,AC026704.1,AL645608.5,AC006262.2,OR6F1,LINC01921,AC025272.1,AL445123.1,AC080038.2,AC112242.1,LINC02549
14251,AC009336.2,AC093904.3,RP1L1,AL132801.1,AC091153.4,AC079163.1,IGFL3,AC118470.1,AC007557.3,AC063952.4,AL359382.1,AC046185.1,AC079298.2,AL160262.1
14252,LINC00868,AC093904.1,C8orf74,AL117209.1,AC034238.2,AL732372.1,C2-AS1,OR14A2,AC007557.1,AC069444.1,AL513164.1,KCNH6,AC079298.1,AL365226.2
14253,LINC02080,AC080162.1,PINX1,LBHD2,AC112198.3,OR4F29,AL645922.1,OR14K1,GJD3,AC012378.1,UST-AS1,AC113554.1,AC093599.1,AL136164.2
14254,AC012499.1,AL035420.2,AC011008.1,LINC00605,HSPB3,BX072566.1,EHMT2-AS1,OR1C1,AC018695.3,AC092691.3,AL357992.1,AC005828.5,GAST,AL136164.1
14255,VSX1,AL121895.1,AC022784.1,AL161669.3,LINC02101,AC133551.1,AL162400.1,OR14A16,LINC02079,IGSF11-AS1,CLDN8,AC010980.2,LINC00974,TFAP2B
14256,AC087289.2,AC020658.2,AC021242.2,AC131211.1,LINC02105,AC136612.1,AC133865.1,AC120057.2,CRYBA2,C3orf30,KRTAP24-1,CCDC140,AC106882.1,AC008764.2
14257,PDE11A-1,AC104794.4,AC245519.1,AC128685.1,AC025180.1,FAM138A,AC135803.1,AC004148.1,FEV,AC083800.1,KRTAP25-1,AC015923.1,LINC01095,AP000426.1
14258,PDE11A,AC104794.1,AC245519.2,LINC01192,AC022126.1,OR4F5,LINC02567,AC007846.1,LINC00608,AC134978.1,KRTAP26-1,AC005828.4,AC097372.2,ODF1
14259,AC073834.1,AC007249.1,AC245187.2,AC079910.1,AC022445.1,MIR1302-2HG,AC104458.1,AC093801.1,CDK5R2,AC107892.1,KRTAP27-1,AC005828.3,AC108206.1,AP003354.1
14260,AC019080.4,BMF-AS1,AC245187.1,LINC01324,AC104113.1,AL627309.3,AC092813.2,AC092673.1,AC126696.2,AC087399.1,AL033504.1,AC005828.1,AC104791.1,AL357375.1
14261,AC019080.3,AC099684.1,ZNF705G,AC092954.2,AC034234.1,LINC01770,AC092813.1,LINC02509,JPH3,STXBP5L,AL023806.2,AC005828.2,C4orf51,AC027031.1
14262,AC087749.1,AC008109.1,DEFB4B,LINC02023,AC008852.1,AC096666.1,AC115522.1,AC097518.1,AC092720.2,AC044873.1,GRM1,AC104984.6,AC093864.1,AL589946.1
14263,AC087749.2,AC019183.1,DEFB103B,SLITRK3,AC016642.1,AL645608.1,AC100872.1,AC027627.1,ITIH4-AS1,AC091027.2,AL359547.1,AC104984.2,LINC02491,AL512363.1
14264,AC011933.3,AP005057.1,SPAG11B,LINC01322,LINC02108,AC090409.2,LINC01151,AC103879.1,AC121764.3,AC091027.1,AL031291.1,AC009955.4,SMAD1-AS1,HCRTR2
14265,VAX2,AP005230.1,DEFB104B,LINC01326,AC118754.2,AC105094.1,AC108136.1,LINC01098,AC121764.2,AC090971.2,LINC01647,AC009955.3,AC100793.4,GFRAL
14266,LINC01143,LINC02564,AC087399.1,AC069439.2,AC118754.1,LINC01544,AL691520.1,LINC01099,AC134312.3,AC023906.2,AL031731.1,AC053503.1,LINC02266,TFAP2D
14267,AC087289.4,TUBB8P12,DEFB105B,ZBBX,LINC01033,AC100843.1,AC037486.1,LINC02504,AC010531.3,CASR,AP001595.1,AC053503.4,AC107074.1,CSMD3
14268,AL080312.2,AP001005.3,DEFB107B,LINC01327,AC113378.1,AC110597.1,AC104036.1,AC104803.1,AC010531.7,AC084782.1,AP001596.1,AC053503.2,LINC02355,AL355997.1
14269,AL049594.1,AC027796.3,PRR23D1,AC026353.1,LINC02065,TRIM43,AC104233.1,LINC00290,AC136285.2,AC084782.2,CYYR1-AS1,AC009502.1,AC099811.2,PKHD1
14270,MGAT5B,AC119424.1,PRR23D2,AC124893.1,LINC02056,AC008268.1,AC105177.1,LINC02500,AC136285.1,AC023906.4,LINC00161,AC024619.3,AC125257.2,LINCMD1
14271,RAPGEF4-AS1,AC068599.1,DEFB107A,LINC02082,CARTPT,AC127537.1,LINC00536,TEMN3-AS1,LINC02188,ONECUT1,AC092100.1,AC024619.2,KLHL10,AC087620.1
14272,AC104088.1,C3orf67-AS1,AF067845.1,AC092954.1,AC145141.1,AL353997.2,AF178030.1,AC079226.2,LINC02189,HGD,KRTAP22-1,RESP18,AC092611.2,LINC00489
14273,DLX2-DT,AC022164.1,AF067845.5,SI,AC145141.2,TBC1D28,AC064802.1,AC079226.1,LINC02017,LINC02049,KRTAP6-1,AC114803.1,FAM160A1-DT,AL162293.1
14274,AC005837.2,AC092378.2,AF067845.4,IGHV7-4-1,AC139834.1,RAX,AC103993.1,AC079766.1,AC092059.1,AC012572.1,KRTAP20-1,TUBA4B,AC104819.3,BAALC-AS2
14275,AC005837.3,LINC02141,DLGAP2-AS1,IGHVIII-5-1,AC140134.2,AC022035.1,CSMD3,AL591848.2,LRTM1,GFRA4,KRTAP20-4,AC068946.2,PRSS48,AC024075.3
14276,AC015802.1,AC018554.3,AC100810.3,IGHVIII-5-2,AC145146.1,AC026585.1,AC009930.1,AC093227.2,AC012467.1,AL109935.2,KRTAP20-2,AC093843.1,AC110813.1,NWD1
14277,HOXD12,CA7,AC019257.8,IGHV3-6,LINC02198,SLC38A3,LINC01609,WDR87,AC134312.2,LINC01729,KRTAP20-3,AC067956.1,AC105343.1,AC020908.2
14278,AC016751.1,CDH16,DEFB106B,IGHVIII-11-1,AC093248.1,SMCR2,SMILR,AC020551.1,LINC02030,AL109935.1,KRTAP21-3,AC093083.1,AC093893.1,AC020908.1
14279,AC012366.1,AC010542.1,AC012572.1,IGHD7-27,AC027796.3,RAI1-AS1,AC104233.2,AC074254.1,AC126121.2,AL139350.1,KRTAP21-2,AC019211.1,IQCM,AC020908.3
14280,AC093459.1,AC018557.2,AC044873.1,IGHJ1P,AC010280.1,AC122129.1,AC068413.1,LINC02174,AC010551.1,AL121781.1,KRTAP21-1,LINC01803,AC092611.1,AP000424.1
14281,AC096649.1,AC044802.1,AC091027.2,IGHD1-26,AC006435.3,BSN-DT,AC104958.1,AC040977.2,AC010551.2,AC009562.1,AC104688.1,ABHD15-AS1,RXRB,AP001205.1
14282,AC010894.4,FAM3D-AS1,AC091027.1,IGHD6-25,AL450226.1,BSN-AS1,HCG17,AC093849.1,AC010551.3,GOLGA8J,AC069280.1,AC005697.1,TWNK,AL033397.1
14283,AC074286.1,AC121764.1,LINC01896,IGHD5-24,AC090617.2,GPR62,TRIM40,AC106895.1,KCNG4,GOLGA8T,AF096876.1,AC015688.6,PLCE1,LINC01746
14284,AC073636.1,AC025572.1,SALL3,PLCH1-AS1,AC099684.1,AC093484.4,IRGC,LINC02269,AC009123.1,PLS1-AS1,TRIM50,AC012070.1,GTPBP3,LIN28B
14285,AC092162.2,ARHGEF3-AS1,AC104423.1,IGHD3-22,OR1A2,AC098850.2,L34079.1,AC106895.2,ADAD2,AC120045.1,CLDN17,LINC01807,SLC35A3,AC022274.1
14286,AC017048.3,AC027682.3,AC103808.5,AC117394.2,AC106732.1,AC012307.1,AC067968.1,LINC02268,AC138057.1,AC020661.2,LINC00307,SPHKAP,LINC01137,CASC9
14287,AC017048.2,AC114400.1,AC009716.1,AC078788.1,LINC01335,AC016229.2,TEX101,AC012055.1,AC114400.1,CLSTN2-AS1,AC104073.4,DAW1,MRFAP1L1,AC067773.1
14288,AC017048.1,AC138057.1,AL591504.1,AC078788.2,LINC02122,AC016229.1,PSG9,AC007846.2,C3orf67-AS1,TRIM42,AC114501.3,SCYGR8,VPS8,LINC01109
14289,C2orf78,AC007998.4,DEFB105A,C3orf79,AC093283.1,IGKV2OR2-1,PSG5,ASB5,AC018695.4,AC121333.1,AP000255.1,SCYGR7,MT-CYB,LINC01111
14290,NAT8,PROKR1,AC021736.1,AC068985.1,AC091868.2,IGKV2OR2-2,AC099786.3,SLC13A5,AC119424.1,AC108727.2,HUNK-AS1,SCYGR6,AC012313.8,AC023200.1
14291,NOTO,LINC01890,AF287957.1,GPR149,AC093523.1,C3orf84,PSG2,TEKT1,AC098479.1,AC123768.1,AP000302.1,SCYGR5,LINC02560,AC062004.1
14292,AC016751.2,BMP10,AC114550.2,AC092994.1,SPATA22,AC121247.1,PSG11,AC027763.2,AC133540.1,AL121890.2,AP000266.1,SCYGR3,NLGN4Y,AC084706.1
14293,AC069155.1,AC099753.1,AC114550.3,AC073359.2,FAM230A,LINC02094,TRIM31-AS1,AC012055.2,LINC00311,SLC9A9-AS1,KRTAP19-4,AC068489.1,AC093909.4,PKIA-AS1
14294,AC012513.1,AC015563.2,HIST1H2AA,AC073359.1,AC011718.1,AC004448.1,HCG9,AC116616.1,KRT12,LINC02346,LINC01931,SCYGR10,KLRG2,AL451064.1
14295,MARCH4,AC025887.2,HIST1H2BA,IGHD1-14,LINC01660,AC025627.1,TRIM39-RPP21,AC096751.2,AC009119.3,AC100836.1,KRTAP19-7,SCYGR2,PPP1R2B,Z97206.2
14296,AC025521.1,AC025887.1,SLC17A4,IGHD4-23,AC008079.1,AC115989.2,AC021733.1,GLRA3,AC009063.1,LINC00929,KRTAP22-2,AC061975.4,CNGA3,AC093072.1
14297,C17orf47,AC012123.1,SLC17A1,IGHV1-12,LINC01634,AC113137.1,MAL2-AS1,AC105914.2,AC009063.2,LINC02248,KRTAP6-3,AC061975.6,VWA3B,AC138907.7
14298,AC122136.1,AC090371.2,SLC17A2,AC092924.1,PPIAL4D,AC005722.2,AC107953.2,AC095050.1,AC009063.3,AC010181.2,KRTAP6-2,ERVE-1,AC159540.2,AC138907.1
14299,AC012668.1,AC090371.1,DEFA5,IGHVII-30-1,LINC01632,AC107982.2,SAMD12-AS1,AC131094.1,AC125793.1,AL451007.3,AL357140.1,AC090774.3,AC013270.1,IGHV3OR16-7
14300,AC012668.2,AC091198.1,USP17L1,IGHV3-30-2,PPIAL4F,AC090286.1,LHX8,AC097537.1,AC009117.2,LINC02252,KRTAP8-1,AC126365.1,RSPH10B,AC009446.1
14301,AC007749.1,NOL4,USP17L4,IGHVII-30-21,PPIAL4E,AC007952.3,AC099786.1,AIPL1,FAM3D-AS1,GJD2,KRTAP7-1,LINC02088,NDST1-AS1,AC104012.1
14302,LINC01921,AC132807.1,AC009435.1,AADACL2,IGKV1OR1-1,AC007952.6,AC005392.1,AC118755.2,AC018695.2,AC087457.1,LINC01445,AC129926.1,PCAT7,OR10H3
14303,AC007557.3,AC132807.2,AL138885.2,AADACL2-AS1,MAST4-AS1,AC007952.1,AL353771.1,LINC02355,AC009154.2,AC114546.1,VSTM2A,AC069061.2,GRIA1,AC060765.1
14304,AC011120.1,PP2D1,LIVAR,AC026347.1,OR1G1,AC007952.8,ERICH3-AS1,IQCM,AC009154.1,AC114546.2,AC011228.1,AC131274.4,CNTNAP4,AL109920.1
14305,LPO,AC011825.2,LINC01910,IGHVIII-13-1,OR1D2,AC106017.1,HEPHL1,AC093893.1,AC009108.2,AC139426.2,AC074351.1,C2orf83,AC025287.4,AC138646.1
14306,EPX,AC005696.4,AC068992.1,IGHV1-14,OR1D5,AC106017.2,AC245748.3,AC105343.1,FOXC2-AS1,AC021231.1,KRTAP19-6,SCYGR1,AC092134.1,MCHR2-AS1
14307,AC015813.3,hsa-mir-1253,AC023403.1,IGHVII-15-1,hsa-mir-1253,IGKV1OR2-3,AC245748.1,AC110813.1,AC092327.2,PRR23B,LINC01818,AC062015.1,AC091167.7,Z86062.2
14308,AC015813.4,OR1D5,AC018541.1,IGHVIII-22-2,AC005696.4,AC090621.1,AC105271.1,PRSS48,LINC00917,PRR23C,LINC01817,CCDC195,AC091167.2,LIN28B-AS1
14309,AC015845.1,OR1D2,AC015468.4,IGHVIII-16-1,AC010280.3,SLC47A2,AC093158.1,AC104819.3,AC004231.3,BPESC1,LINC01920,SLC13A2,SPRR2F,FUT9
14310,AC007557.4,OR1G1,AC015468.1,IGHV1-17,AC024579.1,AC104445.1,AC090802.1,FAM160A1-DT,AC090283.1,AL451007.2,AC104777.3,AC002094.3,CCL1,AC090578.1
14311,TNP1,AC090282.1,AC015468.2,IGHV3-19,LINC02219,MDFIC2,MUCL3,AC092611.2,KRT28,RBP2,AC104777.2,SEBOX,AKR1D1,AL080316.1
14312,AC007557.2,OR1A2,LINC02153,IGHD6-13,AC024581.1,PRICKLE2-AS3,DDR1-DT,AC104793.1,LRRC3C,AC097103.1,AC104777.1,AC002094.2,AC079447.1,AL590727.1
14313,AC007563.1,AC087498.1,AC018529.1,IGHD5-12,LINC02242,AC096888.1,HCG20,AC135178.4,KRT26,AC110716.2,AC023469.2,AC061975.1,LINC01849,LINC00273
14314,AC073321.1,OR1E1,AC087273.1,IGHD4-11,AC010420.1,ADAMTS9-AS1,LINC01608,ODF4,KRT25,AC110716.1,AC023469.1,AC073641.1,AC015849.2,LINC02184
14315,VIL1,AC012174.1,AC100800.1,IGHD3-10,AC090282.1,IGKV3D-7,PSORS1C2,RNF222,KRT24,AC016933.1,AL031709.1,AC013448.2,AC073657.1,AC135776.1
14316,AC007557.1,AC126121.2,AC009884.1,IGHD3-9,AC096751.2,IGKV1D-32,CDSN,SPDYE4,AC026469.1,AC010181.1,AL032819.1,AC013448.1,AL355607.1,AL133457.1
